a	a:
kók	k_h ou: k
kóki	k_h ou: c I
kókinu	k_h ou: c I n Y
kókið	k_h ou: c I D
kókosfeiti	k_h ou: k O s f ei: t I
kókómjólk	k_h ou: k ou m j ou l_0 k
kólna	k_h ou l n a
kólnað	k_h ou l n a D
kólumbíu	k_h ou l Y m p i j Y
kóng	k_h ou N k
kóngi	k_h ou J c I
kónginn	k_h ou J c I n
kónginum	k_h ou J c I n Y m
kóngsins	k_h ou N s I n s
kónguló	k_h ou N k Y l ou:
kóngulóarvefirnir	k_h ou N k Y l ou a v E: v I t n I r
kóngur	k_h ou N k Y r
kóngurinn	k_h ou N k Y r I n
kóp	k_h ou: p
kópaskeri	k_h ou: p a s c E r I
kópavogi	k_h ou: p a v Oi j I
kópavoginn	k_h ou: p a v Oi j I n
kópavoginum	k_h ou: p a v Oi j I n Y m
kópavogs	k_h ou: p a v O x s
kópavogsbæ	k_h ou: p a v O x s p ai:
kópavogsbúar	k_h ou: p a v O x s p u: a r
kópavogur	k_h ou: p a v O: G Y r
kópíu	k_h ou: p i j Y
kór	k_h ou: r
kóra	k_h ou: r a
kóranna	k_h ou: r a n a
kórar	k_h ou: r a r
kórarnir	k_h ou: r a t n I r
kórdrenginn	k_h ou r t r ei J c I n
kórdrengur	k_h ou r t r ei N k Y r
kórea	k_h ou: r E a
kóreska	k_h ou: r E s k a
kóreu	k_h ou: r E Y
kóreumenn	k_h ou: r E Y m E n
kórinn	k_h ou: r I n
kórinþuflóa	k_h ou: r I n T Y f l ou: a
kórnum	k_h ou r t n Y m
kórs	k_h ou r_0 s
kórsins	k_h ou r_0 s I n s
kórum	k_h ou: r Y m
kóróna	k_h ou: r ou n a
kórónu	k_h ou: r ou n Y
köben	k_h 9: p E n
köflum	k_h 9 p l Y m
köflunum	k_h 9 p l O n Y m
köflótt	k_h 9 p l ou h t
köflóttri	k_h 9 p l ou h t r I
köfnun	k_h 9 p n Y n
köfun	k_h 9: v Y n
köggullinn	k_h 9 k Y t l I n
kökkur	k_h 9 h k Y r
kökudeigið	k_h 9 k Y t ei j I D
kökudunkinn	k_h 9 k Y t u n_0 k I n
kökuna	k_h 9: k Y n a
kökunni	k_h 9: k Y n I
kökunum	k_h 9: k O n Y m
kökur	k_h 9: k Y r
kökurnar	k_h 9: k Y t n a r
köld	k_h 9 l t
köldu	k_h 9 l t Y
köldum	k_h 9 l t Y m
köll	k_h 9 t l_0
köllin	k_h 9 t l I n
köllum	k_h 9 t l Y m
köllun	k_h 9 t l Y n
kölluð	k_h 9 t l Y D
kölluðu	k_h 9 t l Y D Y
kölluðum	k_h 9 t l Y D Y m
kölluðust	k_h 9 t l Y D Y s t
köln	k_h 9 l n
kölska	k_h 9 l s k a
könnu	k_h 9 n Y
könnun	k_h 9 n Y n
könnunar	k_h 9 n Y n a r
könnunarinnar	k_h 9 n Y n a r I n a r
könnunin	k_h 9 n Y n I n
könnunina	k_h 9 n Y n I n a
könnuninni	k_h 9 n Y n I n I
könnunni	k_h 9 n Y n I
könnuðu	k_h 9 n Y D Y
könnuðust	k_h 9 n Y D Y s t
könum	k_h 9: n Y m
kör	k_h 9: r
körfu	k_h 9 r v Y
körfuknattleikur	k_h 9 r v Y k n a h t l ei k Y r
körfuna	k_h 9 r v Y n a
körfunni	k_h 9 r v Y n I
körfur	k_h 9 r v Y r
kössum	k_h 9 s Y m
kössunum	k_h 9 s O n Y m
köst	k_h 9 s t
köstum	k_h 9 s t Y m
köstuðu	k_h 9 s t Y D Y
köstuðum	k_h 9 s t Y D Y m
kötlu	k_h 9 h t l Y
kötlum	k_h 9 h t l Y m
kött	k_h 9 h t
köttinn	k_h 9 h t I n
köttum	k_h 9 h t Y m
köttur	k_h 9 h t Y r
kötturinn	k_h 9 h t Y r I n
kú	k_h u:
kúabænda	k_h u: a p ai n t a
kúagerði	k_h u: a c E r D I
kúariðu	k_h u: a r I: D Y
kúba	k_h u: p a
kúbeinið	k_h u: p ei n I D
kúbu	k_h u: p Y
kúgast	k_h u: a s t
kúgaðist	k_h u: a D I s t
kúgun	k_h u: Y n
kúka	k_h u: k a
kúkur	k_h u: k Y r
kúla	k_h u: l a
kúlan	k_h u: l a n
kúlnahríð	k_h u l n a r_0 i: D
kúlu	k_h u: l Y
kúlum	k_h u: l Y m
kúluna	k_h u: l Y n a
kúlur	k_h u: l Y r
kúluvarpi	k_h u: l Y v a r_0 p I
kúm	k_h u: m
kúna	k_h u: n a
kúnni	k_h u n I
kúnninn	k_h u n I n
kúnst	k_h u n s t
kúnstarinnar	k_h u n s t a r I n a r
kúnstir	k_h u n s t I r
kúnum	k_h u: n Y m
kúra	k_h u: r a
kúrekahatt	k_h u: r E k a h a h t
kúrekastígvél	k_h u: r E k a s t i G v j E l
kúrekastígvélunum	k_h u: r E k a s t i G v j E l O n Y m
kúrði	k_h u r D I
kúrðu	k_h u r D Y
kúst	k_h u s t
kút	k_h u: t
kútinn	k_h u: t I n
kútnum	k_h u h t n Y m
kútveltist	k_h u: t v E l_0 t I s t
kúveit	k_h u: v ei t
kýla	c_h i: l a
kýldi	c_h i l t I
kýlinn	c_h i: l I n
kýlir	c_h i: l I r
kýpur	c_h i: p Y r
kýr	c_h i: r
kýrin	c_h i: r I n
kýrnar	c_h i r t n a r
kýs	c_h i: s
la	l a:
labb	l a p
labba	l a p a
labbandi	l a p a n t I
labbar	l a p a r
labbað	l a p a D
labbaði	l a p a D I
labbitúr	l a p I t_h u: r
labrador	l a: p r a t O r
lafa	l a: v a
lafandi	l a: v a n t I
lafir	l a: v I r
lafmóð	l a v m ou D
lag	l a: G
laga	l a: G a
lagabálka	l a: G a p au l_0 k a
lagalegan	l a: G a l E: G a n
laganna	l a: G a n a
laganámsins	l a: G a n au m s I n s
lagar	l a: G a r
lagarfljóti	l a: G a r f l j ou t I
lagast	l a: G a s t
lagað	l a: G a D
lagaðan	l a: G a D a n
lagaði	l a: G a D I
lagaðist	l a: G a D I s t
lager	l a: G E r
lagerinn	l a: G E r I n
lagfæringar	l a x f ai r i N k a r
lagfærði	l a x f ai r D I
lagg	l a k
laggirnar	l a c I t n a r
lagin	l ai j I n
laginn	l ai j I n
laginu	l ai j I n Y
laglegan	l a G l E G a n
laglínan	l a G l i n a n
lagna	l a k n a
lagni	l a k n I
lagning	l a k n i N k
lagningu	l a k n i N k Y
lagnir	l a k n I r
lagos	l a: k O s
lags	l a x s
lagsins	l a x s I n s
lagsmaður	l a x s m a D Y r
lagst	l a x s t
lagt	l a x t
lagðar	l a G D a r
lagðist	l a G D I s t
lagður	l a G D Y r
lak	l a: k
lakara	l a: k a r a
lakari	l a: k a r I
laki	l a: c I
lakið	l a: c I D
lakki	l a h c I
lakkið	l a h c I D
lakkrís	l a h k r i s
lakkskór	l a h k s k ou r
lalla	l a l a
lalli	l a l I
lama	l a: m a
lamandi	l a: m a n t I
lamast	l a: m a s t
lamað	l a: m a D
lamaði	l a: m a D I
lamaðir	l a: m a D I r
lamaðist	l a: m a D I s t
lamaðra	l a: m a D r a
lamaður	l a: m a D Y r
lamb	l a m p
lambahryggur	l a m p a r_0 I k Y r
lambakjöt	l a m p a c 9: t
lambakjöti	l a m p a c 9: t I
lambert	l a m p E r_0 t
lambi	l a m p I
lambinu	l a m p I n Y
lambið	l a m p I D
lambsull	l a m p s Y t l_0
lamdi	l a m t I
lamdir	l a m t I r
lamin	l a: m I n
laminn	l a: m I n
lamið	l a: m I D
lampa	l a m_0 p a
lampann	l a m_0 p a n
lampanum	l a m_0 p a n Y m
lampi	l a m_0 p I
lampinn	l a m_0 p I n
land	l a n t
landa	l a n t a
landakoti	l a n t a k O: t I
landakotsspítala	l a n t a k O: t s p i: t a l a
landamæra	l a n t a m ai: r a
landamæranna	l a n t a m ai: r a n a
landamæri	l a n t a m ai: r I
landamærum	l a n t a m ai: r Y m
landamærunum	l a n t a m ai: r O n Y m
landann	l a n t a n
landanna	l a n t a n a
landans	l a n t a n s
landar	l a n t a r
landareignina	l a n t a r ei k n I n a
landað	l a n t a D
landaði	l a n t a D I
landbúnaðarins	l a m p u n a D a r I n s
landforms	l a n t f O r m s
landfyllingu	l a n t f I t l i N k Y
landgrunninu	l a n t k r Y n I n Y
landgræðslu	l a n t k r ai D s t l Y
landhelginnar	l a n t h E l c I n a r
landhelgisgæslan	l a n t h E l c I s c ai s t l a n
landi	l a n t I
landinn	l a n t I n
landinu	l a n t I n Y
landið	l a n t I D
landkrúser	l a n t k_h r u s E r
landkönnunum	l a n t k_h 9 n Y n Y m
landnáma	l a n t n au m a
landnáms	l a n t n au m s
landnámskonunnar	l a n t n au m s k_h O: n Y n a r
landnámu	l a n t n au m Y
landotrum	l a n t O t r Y m
landrek	l a n t r E: k
landráðamenn	l a n t r au D a m E n
landróver	l a n t r ou v E r
lands	l a n t s
landsbyggðarinnar	l a n t s p I G D a r I n a r
landsbyggðin	l a n t s p I G D I n
landsbyggðina	l a n t s p I G D I n a
landsbyggðinni	l a n t s p I G D I n I
landsbókasafni	l a n t s p ou k a s a p n I
landsbókasafns	l a n t s p ou k a s a p s
landsfjórðungum	l a n s f j ou r D u N k Y m
landshöfðingjans	l a n t s h 9 v D i J c a n s
landsins	l a n t s I n s
landslaginu	l a n t s t l ai j I n Y
landslagsmálverkið	l a n t s t l a k s m au l v E r_0 c I D
landsleikjum	l a n t s t l ei c Y m
landsliðs	l a n t s t l I D s
landsliðsmiðherjinn	l a n t s t l I D s m I: D h E r j I n
landspítalann	l a n t s p i t a l a n
landspítalans	l a n t s p i t a l a n s
landspítalanum	l a n t s p i t a l a n Y m
landsspítalans	l a n t s p i t a l a n s
landssímadeild	l a n t s i m a t ei l t
landssímann	l a n t s i m a n
landssímans	l a n t s i m a n s
landssímanum	l a n t s i m a n Y m
landsteina	l a n t s t ei n a
landsteinana	l a n t s t ei n a n a
landsteinar	l a n t s t ei n a r
landsvirkjunar	l a n t s v I r c Y n a r
landsýnar	l a n t s i n a r
landverndar	l a n t v E r n t a r
landvinninga	l a n t v I n i N k a
lang	l au N k
langa	l au N k a
langan	l au N k a n
langanir	l au N k a n I r
langar	l au N k a r
langarima	l au N k a r I m a
langaði	l au N k a D I
langbesta	l au N p E s t a
langbesti	l au N k p E s t I
langdreginn	l au N t r ei j I n
langdregnu	l au N t r ei k n Y
langdvölum	l au N t v 9 l Y m
langefstur	l au N k E f s t Y r
langflest	l au N k f l E s t
langflestar	l au N k f l E s t a r
langflestir	l au N k f l E s t I r
langflestum	l au N k f l E s t Y m
langframa	l au N k f r a m a
langhali	l au N k h a l I
langholtskirkja	l au N k h O l_0 t s c I r_0 c a
langholtskirkju	l au N k h O l_0 t s c I r_0 c Y
langholtssafnaðar	l au N k h O l_0 t s a p n a D a r
langholtssóknar	l au N k h O l_0 t s ou h k n a r
langi	l au J c I
langinn	l au J c I n
langir	l au N k I r
langisvíri	l au J c I s v i: r I
langleiðina	l au N k l ei D I n a
langloku	l au N k l O k Y
langlundargeð	l au N k l Y n t a r c E: D
langmiðaða	l au N k m I D a D a
langra	l au N k r a
langrar	l au N k r a r
langri	l au N k r I
langs	l au N s
langsamlega	l au N k s a m l E G a
langskemmtilegast	l au N k s c E m_0 t I l E G a s t
langsokk	l au N k s O h k
langsokkur	l au N k s O h k Y r
langstærsta	l au N k s t ai s t a
langstærsti	l au N k s t ai s t I
langstökkinu	l au N k s t 9 h c I n Y
langsum	l au N s Y m
langt	l au N_0 t
langtum	l au N_0 t Y m
langveikra	l au N k v ei k r a
langveikum	l au N k v ei k Y m
langvinn	l au N k v I n
langvinnar	l au N k v I n a r
langyngst	l au N k i N s t
lanka	l au N_0 k a
lappa	l a h p a
lappirnar	l a h p I t n a r
lapplander	l a h p l a n t E r
larfar	l a r v a r
lars	l a r_0 s
larsen	l a r_0 s E n
larsson	l a r_0 s O n
las	l a: s
lasburða	l a: s p Y r D a
lasin	l a: s I n
lasinn	l a: s I n
laskaðir	l a s k a D I r
lasker	l a s k E r
lassi	l a s I
lassý	l a s i
last	l a s t
lata	l a: t a
latir	l a: t I r
latneska	l a h t n E s k a
latneskt	l a h t n E s t
latur	l a: t Y r
latína	l a: t i n a
latínan	l a: t i n a n
latínu	l a: t i n Y
latínunni	l a: t i n Y n I
latínustílar	l a: t i n Y s t i: l a r
lauf	l 9Y: v
laufblöð	l 9Y v p l 9 D
laufblöðum	l 9Y v p l 9 D Y m
laufdal	l 9Y v t a l
laufengi	l 9Y: v ei J c I
laufey	l 9Y: v ei
laufeyjar	l 9Y: v ei j a r
laufeyju	l 9Y: v ei j Y
laufi	l 9Y: v I
laufin	l 9Y: v I n
laufinu	l 9Y: v I n Y
laufið	l 9Y: v I D
laufléttri	l 9Y v l j E h t r I
laufskálinn	l 9Y f s k au l I n
laufskógum	l 9Y f s k ou Y m
laufum	l 9Y: v Y m
laufási	l 9Y: v au s I
laufásveg	l 9Y: v au s v E: G
lauga	l 9Y: G a
laugar	l 9Y: G a r
laugardagsgangan	l 9Y: G a r t a x s k au N k a n
laugardalnum	l 9Y: G a r t a l n Y m
laugardalshöll	l 9Y: G a r t a l s h 9 t l_0
laugardalshöllinni	l 9Y: G a r t a l s h 9 t l_0 I n I
laugardalslaug	l 9Y: G a r t a l s t l 9Y G
laugardalsvelli	l 9Y: G a r t a l s v E t l I
laugardalsvellinum	l 9Y: G a r t a l s v E t l I n Y m
laugarásbíó	l 9Y: G a r au s p i: j ou
laugarásvegi	l 9Y: G a r au s v ei j I
laugaveginum	l 9Y: G a v ei j I n Y m
laugavegs	l 9Y: G a v E x s
laugin	l 9Y j I n
laugina	l 9Y j I n a
lauginni	l 9Y j I n I
laugst	l 9Y x s t
laugu	l 9Y: G Y
laugum	l 9Y: G Y m
lauk	l 9Y: k
laukinn	l 9Y: c I n
lauknum	l 9Y h k n Y m
laukst	l 9Y x s t
laukur	l 9Y: k Y r
laukurinn	l 9Y: k Y r I n
lauma	l 9Y: m a
laumast	l 9Y: m a s t
laumað	l 9Y: m a D
laumaði	l 9Y: m a D I
laumi	l 9Y: m I
laumuhýsill	l 9Y: m Y h i: s I t l_0
laumuðust	l 9Y: m Y D Y s t
laun	l 9Y: n
launa	l 9Y: n a
launað	l 9Y: n a D
launaði	l 9Y: n a D I
launhelgar	l 9Y: n h E l k a r
launin	l 9Y: n I n
launkofa	l 9Y: n k O v a
launum	l 9Y: n Y m
launungarmál	l 9Y: n u N k a m au: l
laununum	l 9Y: n O n Y m
launuð	l 9Y: n Y D
launuðu	l 9Y: n Y D Y
launþega	l 9Y n T E G a
launþegar	l 9Y n T E G a r
laupana	l 9Y: p a n a
laus	l 9Y: s
lausa	l 9Y: s a
lausan	l 9Y: s a n
lausar	l 9Y: s a r
lausir	l 9Y: s I r
lauslega	l 9Y: s t l E G a
lauslæti	l 9Y: s t l ai t I
lausn	l 9Y s t n_0
lausna	l 9Y s t n a
lausnar	l 9Y s t n a r
lausnargjaldið	l 9Y s t n a r c a l t I D
lausnin	l 9Y s t n I n
lausnina	l 9Y s t n I n a
lausnir	l 9Y s t n I r
lausnum	l 9Y s t n Y m
laust	l 9Y s t
lausu	l 9Y: s Y
lausum	l 9Y: s Y m
laut	l 9Y: t
lautir	l 9Y: t I r
lax	l a k s
laxa	l a k s a
laxar	l a k s a r
laxdal	l a k s t a l
laxeldi	l a k s E l t I
laxeldis	l a k s E l t I s
laxi	l a k s I
laxinn	l a k s I n
laxins	l a k s I n s
laxinum	l a k s I n Y m
laxnesi	l a k s t n E s I
laxness	l a k s t n E s
laxveiði	l a k s v ei D I
laxá	l a k s au
laxár	l a k s au r
laða	l a: D a
laðar	l a: D a r
laðast	l a: D a s t
laðað	l a: D a D
laðaði	l a: D a D I
laðaðist	l a: D a D I s t
leg	l E: G
lega	l E: G a
legbönd	l E G p 9 n t
legg	l E k
leggangaopið	l E G k au N k a O: p I D
leggi	l E c I
leggina	l E c I n a
leggings	l E c i N s
legginn	l E c I n
leggir	l E c I r
leggist	l E c I s t
leggið	l E c I D
leggja	l E c a
leggjast	l E c a s t
leggjum	l E c Y m
leggjunum	l E c O n Y m
leggurðu	l E k Y r D Y
leggðu	l E G D Y
leggöngin	l E G k 9Y J c I n
leginu	l ei j I n Y
leginum	l E: j I n Y m
legið	l ei j I D
lego	l E: k ou
legstað	l E x s t a D
legstein	l E x s t ei n
legt	l E x t
legu	l E: G Y
legubekkur	l E: G Y p E h k Y r
legði	l E G D I
legðist	l E G D I s t
legðu	l E G D Y
leidd	l ei t
leiddar	l ei t a r
leiddi	l ei t I
leiddir	l ei t I r
leiddist	l ei t I s t
leiddu	l ei t Y
leiddumst	l ei t Y m s t
leiddur	l ei t Y r
leif	l ei: v
leifar	l ei: v a r
leifarnar	l ei: v a t n a r
leifi	l ei: v I
leifs	l ei f s
leifsdóttir	l ei f s t ou h t I r
leifsgötu	l ei f s k 9 t Y
leifsson	l ei f s O n
leifssonar	l ei f s O n a r
leifsstöð	l ei f s t 9 D
leifssyni	l ei f s I n I
leiftrandi	l ei f t r a n t I
leiftraði	l ei f t r a D I
leiftri	l ei f t r I
leiftruðu	l ei f t r Y D Y
leiftur	l ei f t Y r
leifturs	l ei f t Y r_0 s
leiftursmenn	l ei f t Y r_0 s m E n
leiftursnöggt	l ei f t Y r s t n 9 x t
leifum	l ei: v Y m
leiga	l ei: G a
leigi	l ei j I
leigir	l ei j I r
leigja	l ei j a
leigjendasamtökin	l ei j E n t a s a m t 9 c I n
leigu	l ei: G Y
leigubílstjórann	l ei: G Y p i l s t j ou: r a n
leigubílstjóranum	l ei: G Y p i l s t j ou r a n Y m
leigubílstjórinn	l ei: G Y p i l s t j ou: r I n
leiguliðar	l ei: G Y l I D a r
leiguliðarnir	l ei: G Y l I D a t n I r
leigunni	l ei: G Y n I
leigð	l ei G D
leigðar	l ei G D a r
leigði	l ei G D I
leigðu	l ei G D Y
leigðum	l ei G D Y m
leigður	l ei G D Y r
leik	l ei: k
leika	l ei: k a
leikana	l ei: k a n a
leikanna	l ei: k a n a
leikar	l ei: k a r
leikara	l ei: k a r a
leikarana	l ei: k a r a n a
leikarann	l ei: k a r a n
leikaranna	l ei: k a r a n a
leikarans	l ei: k a r a n s
leikaranum	l ei: k a r a n Y m
leikarar	l ei: k a r a r
leikararnir	l ei: k a r a t n I r
leikaraskapur	l ei: k a r a s k a: p Y r
leikari	l ei: k a r I
leikarinn	l ei: k a r I n
leikarnir	l ei: k a t n I r
leikbanni	l ei: k p a n I
leikdómenda	l ei: k t ou m E n t a
leikendur	l ei: k E n t Y r
leikfiminni	l ei k f I m I n I
leikfléttum	l ei: k f l j E h t Y m
leikföng	l ei k f 9Y N k
leikföngum	l ei k f 9Y N k Y m
leikhlutanum	l ei k l_0 Y t a n Y m
leikhléi	l ei k l_0 j E I
leiki	l ei: c I
leikin	l ei: c I n
leikina	l ei: c I n a
leikinn	l ei: c I n
leikir	l ei: c I r
leikirnir	l ei: c I t n I r
leikið	l ei: c I D
leikja	l ei: c a
leikjum	l ei: c Y m
leikjunum	l ei: c O n Y m
leikkonuna	l ei: k O n Y n a
leikkonunnar	l ei: k O n Y n a r
leikkonunni	l ei: k O n Y n I
leiklistar	l ei: k l I s t a r
leiklistina	l ei: k l I s t I n a
leiklistinni	l ei: k l I s t I n I
leikmennina	l ei: k m E n I n a
leikmunageymslu	l ei: k m Y n a k ei m s t l Y
leikna	l ei h k n a
leiknar	l ei h k n a r
leikni	l ei h k n I
leiknir	l ei h k n I r
leiknum	l ei h k n Y m
leikritin	l ei: k r I t I n
leikritinu	l ei: k r I t I n Y
leikritum	l ei: k r I t Y m
leikrænum	l ei: k r ai n Y m
leiks	l ei k s
leiksins	l ei k s I n s
leikskáldið	l ei k s k au l t I D
leikskólana	l ei k s k ou l a n a
leikskólanna	l ei k s k ou l a n a
leikslok	l ei k s t l O k
leiksloka	l ei k s t l O k a
leikslokum	l ei k s t l O k Y m
leikstjóranum	l ei: k s t j ou r a n Y m
leikstýrir	l ei: k s t i r I r
leikstýrði	l ei: k s t i r D I
leiktu	l ei x t Y
leiktíðar	l ei: k t i D a r
leiktíðina	l ei: k t i D I n a
leikum	l ei: k Y m
leikunum	l ei: k O n Y m
leikur	l ei: k Y r
leikurinn	l ei: k Y r I n
leikurum	l ei: k Y r Y m
leikurunum	l ei: k Y r O n Y m
leikvanginn	l ei: k v au N c I n
leikvanginum	l ei: k v au N c I n Y m
leikvangsins	l ei: k v au N k s I n s
leir	l ei: r
leirfatinu	l ei r_0 f a t I n Y
leirinn	l ei: r I n
leirlist	l ei r l I s t
leirmótun	l ei r m ou t Y n
leirnum	l ei r t n Y m
leirtau	l ei r_0 t 9Y
leist	l ei s t
leit	l ei: t
leita	l ei: t a
leitandi	l ei: t a n t I
leitar	l ei: t a r
leitast	l ei: t a s t
leitað	l ei: t a D
leitaði	l ei: t a D I
leitaðist	l ei: t a D I s t
leitaðu	l ei: t a D Y
leiti	l ei: t I
leitin	l ei: t I n
leitina	l ei: t I n a
leitinni	l ei: t I n I
leitir	l ei: t I r
leitirnar	l ei: t I t n a r
leitist	l ei: t I s t
leitið	l ei: t I D
leitt	l ei h t
leitum	l ei: t Y m
leitun	l ei: t Y n
leituðu	l ei: t Y D Y
leituðum	l ei: t Y D Y m
leið	l ei: D
leiða	l ei: D a
leiðandi	l ei: D a n t I
leiðangra	l ei: D au N k r a
leiðangri	l ei: D au N k r I
leiðangrinum	l ei: D au N k r I n Y m
leiðangur	l ei: D au N k Y r
leiðangurinn	l ei: D au N k Y r I n
leiðangursins	l ei: D au N k Y r_0 s I n s
leiðar	l ei: D a r
leiðara	l ei: D a r a
leiðarinnar	l ei: D a r I n a r
leiðarljósi	l ei: D a r l j ou: s I
leiðast	l ei: D a s t
leiðbeina	l ei D p ei n a
leiðbeinanda	l ei D p ei n a n t a
leiðbeinandi	l ei D p ei n a n t I
leiðbeindi	l ei D p ei n t I
leiðbeinenda	l ei D p ei n E n t a
leiðbeinendur	l ei D p ei n E n t Y r
leiðbeiningar	l ei D p ei n i N k a r
leiðbeiningum	l ei D p ei n i N k Y m
leiðbeinir	l ei D p ei n I r
leiðbeint	l ei D p ei n_0 t
leiðigjarnt	l ei: D I c a n_0 t
leiðin	l ei: D I n
leiðina	l ei: D I n a
leiðinda	l ei: D I n t a
leiðindi	l ei: D I n t I
leiðindin	l ei: D I n t I n
leiðindum	l ei: D I n t Y m
leiðinleg	l ei: D I l E G
leiðinlega	l ei: D I l E G a
leiðinlegar	l ei: D I l E G a r
leiðinlegra	l ei: D I l E G r a
leiðinlegri	l ei: D I l E G r I
leiðinlegt	l ei: D I l E x t
leiðinlegu	l ei: D I l E G Y
leiðir	l ei: D I r
leiðirnar	l ei: D I t n a r
leiðist	l ei: D I s t
leiðið	l ei: D I D
leiðrétt	l ei D r j E h t
leiðrétta	l ei D r j E h t a
leiðrétti	l ei D r j E h t I
leiðrétting	l ei D r j E h t i N k
leiðréttingar	l ei D r j E h t i N k a r
leiðréttingu	l ei D r j E h t i N k Y
leiðsagnar	l ei D s a k n a r
leiðslur	l ei D s t l Y r
leiðslurnar	l ei D s t l Y t n a r
leiðst	l ei D s t
leiðsögn	l ei D s 9 k n_0
leiðtoga	l ei D t O G a
leiðtogafundinum	l ei D t O G a f Y n t I n Y m
leiðtoganna	l ei D t O G a n a
leiðtogar	l ei D t O G a r
leiðtogarnir	l ei D t O G a t n I r
leiðtogi	l ei D t Oi j I
leiðtoginn	l ei D t Oi j I n
leiðtogum	l ei D t O G Y m
leiðum	l ei: D Y m
leiðunum	l ei: D O n Y m
leiður	l ei: D Y r
leka	l E: k a
lekann	l E: k a n
leki	l E: c I
lekið	l E: c I D
lektors	l E x t O r_0 s
lekur	l E: k Y r
lem	l E: m
lemdi	l E m t I
lemdu	l E m t Y
lemja	l E m j a
lena	l E: n a
lenda	l E n t a
lendar	l E n t a r
lendarvöðva	l E n t a r v 9 D v a
lendi	l E n t I
lending	l E n t i N k
lendingar	l E n t i N k a r
lendingu	l E n t i N k Y
lendingunni	l E n t i N k Y n I
lendir	l E n t I r
lendum	l E n t Y m
lendur	l E n t Y r
lengd	l ei N t
lengdar	l ei N t a r
lengdist	l ei N t I s t
lengdur	l ei N t Y r
lengdust	l ei N t Y s t
lengi	l ei J c I
lengingu	l ei J c i N k Y
lengir	l ei J c I r
lengist	l ei J c I s t
lengja	l ei J c a
lengjast	l ei J c a s t
lengra	l ei N k r a
lengri	l ei N k r I
lengst	l ei N s t
lengsta	l ei N s t a
lengstra	l ei N s t r a
lengstu	l ei N s t Y
lengstum	l ei N s t Y m
lengt	l ei N_0 t
lenna	l E n a
lennart	l E n a r_0 t
lennon	l E n O n
lens	l E n s
lent	l E n_0 t
lenti	l E n_0 t I
lentu	l E n_0 t Y
lentum	l E n_0 t Y m
lentur	l E n_0 t Y r
lenu	l E: n Y
leníngrad	l E: n i N k r a t
leníns	l E: n i n
lepja	l E: p j a
lepp	l E h p
leppana	l E h p a n a
lerkaður	l E r_0 k a D Y r
lerki	l E r_0 c I
les	l E: s
lesa	l E: s a
lesanda	l E: s a n t a
lesandans	l E: s a n t a n s
lesandanum	l E: s a n t a n Y m
lesandi	l E: s a n t I
lesandinn	l E: s a n t I n
lesarar	l E: s a r a r
lesari	l E: s a r I
lesblindir	l E: s p l I n t I r
lesblindu	l E: s p l I n t Y
lesblint	l E: s p l I n_0 t
lesbía	l E s p i j a
lesbísk	l E s p i s k
lesbók	l E: s p ou k
lesbókar	l E: s p ou k a r
lesefni	l E: s E p n I
lesenda	l E: s E n t a
lesendum	l E: s E n t Y m
lesendur	l E: s E n t Y r
lesi	l E: s I
lesin	l E: s I n
lesinn	l E: s I n
lesið	l E: s I D
lesmál	l E: s m au l
lesna	l E s t n a
lesnar	l E s t n a r
lesning	l E s t n i N k
lesningu	l E s t n i N k Y
lesnir	l E s t n I r
lesstofan	l E: s t O v a n
lest	l E s t
lesta	l E s t a
lestarfar	l E s t a r f a: r
lestarinnar	l E s t a r I n a r
lestarklefa	l E s t a r k l E: v a
lestarlúgu	l E s t a r l u: Y
lestarnar	l E s t a r t n a r
lestarpall	l E s t a r p a t l_0
lestarstöð	l E s t a r s t 9 D
lestarstöðina	l E s t a r s t 9 D I n a
lestarstöðinni	l E s t a r s t 9 D I n I
lestin	l E s t I n
lestina	l E s t I n a
lestinni	l E s t I n I
lestir	l E s t I r
lestirnar	l E s t I t n a r
lestrar	l E s t r a r
lestri	l E s t r I
lestrinum	l E s t r I n Y m
lestu	l E s t Y
lestum	l E s t Y m
lestur	l E s t Y r
lesturinn	l E s t Y r I n
lesum	l E: s Y m
leti	l E: t I
letrað	l E: t r a D
letri	l E: t r I
letrið	l E: t r I D
lettar	l E h t a r
lettland	l E h t l a n t
lettlandi	l E h t l a n t I
lettlands	l E h t l a n t s
leturskipanir	l E: t Y r s c I: p a n I r
leví	l E: v i
lexía	l E k s i j a
lexíu	l E k s i j Y
leyfi	l ei: v I
leyfileg	l ei: v I l E G
leyfilegan	l ei: v I l E G a n
leyfilegt	l ei: v I l E x t
leyfilegum	l ei: v I l E G Y m
leyfilegur	l ei: v I l E G Y r
leyfin	l ei: v I n
leyfir	l ei: v I r
leyfis	l ei: v I s
leyfist	l ei: v I s t
leyfið	l ei: v I D
leyft	l ei f t
leyfum	l ei: v Y m
leyfð	l ei v D
leyfðar	l ei v D a r
leyfði	l ei v D I
leyfðir	l ei v D I r
leyfðist	l ei v D I s t
leyfðu	l ei v D Y
leyfður	l ei v D Y r
leyna	l ei: n a
leynast	l ei: n a s t
leynd	l ei n t
leynda	l ei n t a
leyndar	l ei n t a r
leyndardómsfull	l ei n t a r t ou m s f Y t l_0
leyndardómsfulla	l ei n t a r t ou m s f Y t l a
leyndardómsfullt	l ei n t a r t ou m s f Y l_0 t
